Time;Perf_Time;Action
09:18:57;4219023.513584464;H
09:18:57;4219023.583038274;e
09:18:58;4219024.293655265;l
09:18:58;4219024.43338666;l
09:18:59;4219025.008173774;o
09:18:59;4219025.758374504;SPACE
09:19:00;4219026.051776228;m
09:19:00;4219026.141763004;y
09:19:00;4219026.833269704;SPACE
09:19:00;4219026.922846551;f
09:19:01;4219027.152161674;r
09:19:01;4219027.270854285;i
09:19:01;4219027.323079434;e
09:19:01;4219027.48850482;n
09:19:01;4219027.587894503;d
09:19:03;4219029.519716316;,
09:19:04;4219030.022880126;SPACE
09:19:06;4219032.035940685;BACK
09:19:13;4219039.300133492;i
09:19:13;4219039.859240297;I 
09:19:14;4219040.043483331;w
09:19:14;4219040.18761136;a
09:19:14;4219040.504806526;n
09:19:14;4219040.559712323;t
09:19:14;4219040.753294937;SPACE
09:19:14;4219040.988415412;t
09:19:15;4219041.137718279;o
09:19:15;4219041.835605092;SPACE
09:19:17;4219043.832462156;BACK
09:19:22;4219048.783089539;SPACE
09:19:22;4219048.835073378;w
09:19:23;4219049.041138194;i
09:19:23;4219049.121574363;s
09:19:23;4219049.288991862;h
09:19:23;4219049.870749559;W 
09:19:23;4219049.932574025;y
09:19:24;4219050.016325689;o
09:19:24;4219050.1837385;u
09:19:25;4219051.548985164;SPACE
09:19:25;4219051.965075854;a
09:19:26;4219052.113055241;SPACE
09:19:26;4219052.350740416;h
09:19:26;4219052.472953396;a
09:19:26;4219052.571947066;p
09:19:26;4219052.818671936;p
09:19:26;4219052.887783321;y
09:19:28;4219054.950365258;
09:19:35;4219061.31309848;BACK
09:19:35;4219061.513091075;BACK
09:19:35;4219061.685931952;BACK
09:19:35;4219061.873089256;BACK
09:19:36;4219062.013651126;BACK
09:19:36;4219062.53306571;BACK
09:19:38;4219064.556089405;
09:19:41;4219067.674124629; birthday to you.But
09:19:47;4219073.706244141;
09:19:51;4219077.765901885;BACK
09:19:51;4219077.962317641;BACK
09:19:52;4219078.125942167;BACK
09:19:52;4219078.888597877;SPACE
09:19:53;4219079.166343152;h
09:19:53;4219079.406803985;o
09:19:53;4219079.483153871;w
09:19:55;4219081.524761054;
09:19:59;4219085.044917926;BACK
09:19:59;4219085.197793531;BACK
09:19:59;4219085.717415859;BACK
09:20:00;4219086.231202865;h
09:20:00;4219086.92606571;BACK
09:20:01;4219087.950329777;H
