Time;Perf_Time;Action
09:41:38;4220384.541466035;T
09:41:38;4220384.714952516;h
09:41:38;4220384.767400714;e
09:41:39;4220385.39297948;SPACE
09:41:39;4220385.502217265;w
09:41:40;4220386.053627834;e
09:41:40;4220386.700486493;a
09:41:41;4220387.052372449;t
09:41:41;4220387.251667334;h
09:41:41;4220387.314328115;e
09:41:41;4220387.493396543;r
09:41:43;4220389.512340425;
09:41:50;4220396.29330222;SPACE
09:41:50;4220396.832104374;w
09:41:51;4220397.032346843;a
09:41:51;4220397.187915586;s
09:41:53;4220399.225038607;
09:41:59;4220405.866414175;BACK
09:42:00;4220406.91235799;BACK
09:42:00;4220406.96239184;BACK
09:42:00;4220406.99204145;BACK
09:42:01;4220407.062577175;BACK
09:42:01;4220407.098978883;BACK
09:42:01;4220407.161432567;BACK
09:42:01;4220407.235186434;BACK
09:42:01;4220407.263238028;BACK
09:42:01;4220407.319054891;BACK
09:42:01;4220407.397223014;BACK
09:42:01;4220407.405022443;BACK
09:42:01;4220407.4692483;BACK
09:42:01;4220407.518521837;BACK
09:42:01;4220407.588773197;BACK
09:42:03;4220409.203674911;I
09:42:03;4220409.663795861;SPACE
09:42:03;4220409.876448976;d
09:42:03;4220409.978016803;i
09:42:04;4220410.14282509;d
09:42:04;4220410.595478623;SPACE
09:42:04;4220410.831651976;n
09:42:05;4220411.034864993;o
09:42:05;4220411.086247122;t
09:42:05;4220411.792011307;N 
09:42:05;4220411.925808396;e
09:42:06;4220412.532317144;BACK
09:42:06;4220412.713366964;BACK
09:42:06;4220412.893298227;BACK
09:42:07;4220413.073313702;BACK
09:42:07;4220413.553213363;BACK
09:42:07;4220413.730865756;n
09:42:08;4220414.012840335;i
09:42:08;4220414.152758362;t
09:42:09;4220415.581308923;BACK
09:42:09;4220415.726260015;BACK
09:42:10;4220416.540225185;o
09:42:10;4220416.661880639;t
09:42:11;4220417.232810711;SPACE
09:42:11;4220417.49310172;e
09:42:11;4220417.497346186;BACK
09:42:11;4220417.502148649;BACK
09:42:11;4220417.52237268;not e
09:42:11;4220417.809951237;x
09:42:12;4220418.033721395;p
09:42:12;4220418.038029221;BACK
09:42:12;4220418.041671799;not 
09:42:12;4220418.049054338;exp
09:42:13;4220419.131739309;e
09:42:13;4220419.452913302;c
09:42:15;4220421.51272104;
09:42:19;4220425.262834715;t
09:42:20;4220426.073487737;SPACE
09:42:20;4220426.266380427;t
09:42:20;4220426.507993601;o
09:42:20;4220426.993274282;SPACE
09:42:21;4220427.232971962;h
09:42:21;4220427.406282407;a
09:42:21;4220427.585229279;v
09:42:21;4220427.645342738;e
09:42:23;4220429.681531547;
09:42:28;4220434.051266674;SPACE
09:42:30;4220436.072285274;BACK
09:42:33;4220439.491864843;SPACE
09:42:35;4220441.530716541;BACK
09:42:38;4220444.024399843;SPACE
09:42:38;4220444.190689184;s
09:42:38;4220444.386744304;u
09:42:39;4220445.066780137;n
