Time;Perf_Time;Action
14:25:58;3373444.716574048;H
14:25:58;3373444.812025569;e
14:25:59;3373445.087028453;y
14:25:59;3373445.155709454;SPACE
14:25:59;3373445.367026877;L
14:25:59;3373445.566564084;u
14:25:59;3373445.642046055;c
14:25:59;3373445.710377863;h
14:25:59;3373445.887078872;k
14:26:00;3373446.046593633;o
14:26:00;3373446.055268273;SPACE
14:26:00;3373446.257271876;BACK
14:26:00;3373446.426620257;,
14:26:00;3373446.443672047;SPACE
14:26:00;3373446.596412165;BACK
14:26:00;3373446.60557014;\n
14:26:01;3373447.285054381;H
14:26:01;3373447.372974555;a
14:26:01;3373447.479327277;p
14:26:01;3373447.606764452;p
14:26:01;3373447.70955111;y
14:26:01;3373447.813857296;SPACE
14:26:02;3373448.006654639;b
14:26:02;3373448.176549213;u
14:26:02;3373448.257581027;r
14:26:02;3373448.426600362;t
14:26:02;3373448.506052713;h
14:26:02;3373448.707511888;d
14:26:02;3373448.876224637;a
14:26:03;3373449.057153162;y
14:26:03;3373449.14424827;i
14:26:03;3373449.158775459;SPACE
14:26:03;3373449.64651528;BACK
14:26:05;3373451.217983189;!
14:26:05;3373451.23316274;SPACE
14:26:05;3373451.331440459;BACK
14:26:05;3373451.349053972;!
14:26:05;3373451.360615082;SPACE
14:26:06;3373452.877346939;I
14:26:06;3373452.940917282;c
14:26:07;3373453.358861692;BACK
14:26:07;3373453.797185059;SPACE
14:26:07;3373453.926901464;w
14:26:08;3373454.077077881;h
14:26:08;3373454.437138437;BACK
14:26:08;3373454.637276909;i
14:26:08;3373454.747893115;s
14:26:08;3373454.814254511;h
14:26:08;3373454.98682998;SPACE
14:26:09;3373455.356981048;y
14:26:09;3373455.434918661;o
14:26:09;3373455.596602076;u
14:26:09;3373455.767055155;SPACE
14:26:09;3373455.996476424;a
14:26:10;3373456.108397243;l
14:26:10;3373456.227039534;l
14:26:10;3373456.426961381;SPACE
14:26:10;3373456.557134132;t
14:26:10;3373456.629054467;h
14:26:10;3373456.741872668;e
14:26:10;3373456.814310084;SPACE
14:26:10;3373456.996639104;b
14:26:11;3373457.070016068;e
14:26:11;3373457.246934931;s
14:26:11;3373457.42671276;r
14:26:12;3373458.054585661;BACK
14:26:12;3373458.576513617;BACK
14:26:12;3373458.584262972;BACK
14:26:12;3373458.806783235;BACK
14:26:12;3373458.810966446;all
14:26:13;3373459.047170821;BACK
14:26:13;3373459.051408324;you
14:26:13;3373459.746535676;BACK
14:26:13;3373459.768025937;l
14:26:13;3373459.874743164;l
14:26:14;3373460.066899306;SPACE
14:26:14;3373460.187822793;t
14:26:14;3373460.272323729;h
