Time;Perf_Time;Action
07:25:27;3434613.705816355;D
07:25:27;3434613.930942193;e
07:25:28;3434614.214408989;a
07:25:28;3434614.900041564;r
07:25:29;3434615.337133697;SPACE
07:25:30;3434616.266212077;A
07:25:31;3434617.01069615;B
07:25:31;3434617.557655924;C
07:25:32;3434618.500411451;,
07:25:32;3434618.671167446;SPACE
07:25:34;3434620.698346052;BACK
07:25:42;3434628.201817017;
07:25:46;3434632.518612991; I
07:25:47;3434633.467274141;SPACE
07:25:47;3434633.650529319;w
07:25:47;3434633.833022827;i
07:25:47;3434633.960705079;s
07:25:48;3434634.1283122;h
07:25:48;3434634.423347555;SPACE
07:25:49;3434635.138727796;you
07:25:50;3434636.355680916;SPACE
07:25:50;3434636.499649052;a
07:25:51;3434637.321188967;SPACE
07:25:51;3434637.76643935;h
07:25:52;3434638.622775639;appy
07:25:53;3434639.576182795;SPACE
07:25:53;3434639.781841415;b
07:25:54;3434640.086567964;i
07:25:54;3434640.460765408;rthday
07:25:56;3434642.507998241;
07:25:59;3434645.892889612;" .""\n\nIt's"
07:26:07;3434653.401082249;
07:26:15;3434661.294728293;
07:26:19;3434665.174586146;SPACE
07:26:19;3434665.706147662;b
07:26:19;3434665.948910598;e
07:26:20;3434666.061345526;e
07:26:20;3434666.170219298;n
07:26:20;3434666.438178079;SPACE
07:26:20;3434666.654658757;a
07:26:20;3434666.731898118;SPACE
07:26:21;3434667.190336628;l
07:26:21;3434667.36469187;o
07:26:21;3434667.71382719;n
07:26:21;3434667.838547092;g
07:26:22;3434668.138530454;SPACE
07:26:22;3434668.171241493;t
07:26:22;3434668.246736593;i
07:26:22;3434668.621612496;m
07:26:22;3434668.797794707;e
07:26:23;3434669.909166277;SPACE
07:26:23;3434669.964564395;a
07:26:24;3434670.144153502;n
07:26:24;3434670.28372185;d
07:26:24;3434670.362452666;SPACE
07:26:25;3434671.283883114;h
07:26:25;3434671.489410058;o
07:26:25;3434671.660035653;p
07:26:25;3434671.859664735;e
07:26:25;3434671.993063521;SPACE
