Time;Perf_Time;Action
08:29:18;3438444.976202943;F
08:29:19;3438445.023521834;o
08:29:19;3438445.520361712;r
08:29:19;3438445.613159953;SPACE
08:29:19;3438445.825050631;m
08:29:20;3438446.67028688;y
08:29:20;3438446.837936277;SPACE
08:29:21;3438447.016259322;l
08:29:21;3438447.109809193;a
08:29:21;3438447.284371322;s
08:29:21;3438447.332573962;t
08:29:21;3438447.514442895;SPACE
08:29:21;3438447.684477577;v
08:29:21;3438447.815411648;a
08:29:22;3438448.490755162;cation
08:29:22;3438448.504553761;SPACE
08:29:22;3438448.872867522;i
08:29:23;3438449.028195841;I
08:29:23;3438449.032868103;SPACE
08:29:23;3438449.254312227;w
08:29:23;3438449.487580014;e
08:29:23;3438449.566479762;n
08:29:23;3438449.680316399;t
08:29:23;3438449.78281928;SPACE
08:29:23;3438449.947079178;t
08:29:23;3438449.994640895;o
08:29:24;3438450.162395619;SPACE
08:29:24;3438450.318714377;t
08:29:24;3438450.390258839;h
08:29:24;3438450.522431202;e
08:29:24;3438450.609753245;SPACE
08:29:24;3438450.788102745;n
08:29:24;3438450.949971849;o
08:29:25;3438451.093079543;r
08:29:25;3438451.249071166;t
08:29:25;3438451.572285155;h
08:29:25;3438451.770574365;SPACE
08:29:25;3438451.932528448;s
08:29:26;3438452.086358488;e
08:29:26;3438452.259823723;a
08:29:26;3438452.344305399;NS
08:29:26;3438452.359633103;SPACE
08:29:26;3438452.766248375;BACK
08:29:28;3438454.772498641;
08:29:35;3438461.747573583;SPACE
08:29:36;3438462.096227577;f
08:29:36;3438462.203804546;o
08:29:36;3438462.412306596;r
08:29:36;3438462.574588814;SPACE
08:29:36;3438462.774528813;a
08:29:36;3438462.853854038;SPACE
08:29:37;3438463.26853038;f
08:29:37;3438463.484810246;a
08:29:37;3438463.55419603;m
08:29:37;3438463.710290534;i
08:29:37;3438463.855726019;l
08:29:38;3438464.128023765;BACK
08:29:38;3438464.277593874;BACK
08:29:38;3438464.418340857;BACK
08:29:38;3438464.585251833;BACK
08:29:38;3438464.734946606;BACK
08:29:38;3438464.894663753;BACK
08:29:39;3438465.050789456;BACK
08:29:39;3438465.214867853;BACK
08:29:39;3438465.354268211;BACK
08:29:39;3438465.507590347;BACK
08:29:39;3438465.651047661;BACK
08:29:40;3438466.007289423;BACK
08:29:41;3438467.366265288;
08:29:42;3438468.009847769;
08:29:50;3438476.344525768; and took a look at some great places on the coast,
08:29:55;3438481.044263294;
08:29:59;3438485.175258097; some of which have amazing beaches and the other that are nothing
08:30:04;3438490.916827797; special but still worth a look.\n\nThe
08:30:07;3438493.911236603;SPACE
08:30:09;3438495.279265174;f
08:30:09;3438495.44553754;a
08:30:09;3438495.552282732;m
08:30:09;3438495.710128946;i
08:30:09;3438495.867990499;l
08:30:10;3438496.209500829;y
08:30:10;3438496.437090144;SPACE
08:30:10;3438496.848726026;g
08:30:11;3438497.067023205;a
08:30:11;3438497.112523081;t
08:30:11;3438497.267396952;h
08:30:11;3438497.320524795;e
08:30:11;3438497.457897184;r
08:30:11;3438497.503714197;i
08:30:11;3438497.659051796;n
08:30:11;3438497.806610818;g
08:30:11;3438497.864720623;SPACE
08:30:12;3438498.028062274;m
08:30:12;3438498.152352469;e
08:30:12;3438498.238449399;SPACE
08:30:12;3438498.453509209;a
08:30:12;3438498.510722945;b
08:30:12;3438498.738296368;d
08:30:12;3438498.783609115;n
08:30:12;3438498.844949019;SPACE
08:30:13;3438499.795121268;my
08:30:13;3438499.799735672;SPACE
08:30:14;3438500.327966187;p
08:30:14;3438500.578957216;a
08:30:15;3438501.02718376;r
08:30:15;3438501.182417205;e
08:30:15;3438501.244181984;n
08:30:15;3438501.402243562;t
08:30:15;3438501.535751314;s
08:30:17;3438503.54445445;
08:30:20;3438506.929348086;SPACE
08:30:21;3438507.452434323;j
08:30:21;3438507.636981246;o
08:30:21;3438507.781564957;i
08:30:21;3438507.934153119;n
08:30:22;3438508.011707319;e
08:30:22;3438508.171667368;d
08:30:22;3438508.245384691;SPACE
08:30:24;3438510.263647265;BACK
08:30:30;3438516.260099656;SPACE
08:30:30;3438516.429176748;w
08:30:30;3438516.592412238;a
08:30:30;3438516.744289776;s
08:30:30;3438516.84510186;SPACE
08:30:30;3438516.954569706;a
08:30:31;3438517.052033431;SPACE
08:30:33;3438519.068507632;BACK
08:30:38;3438524.625757342; great trip and we both got to have a few beers.
08:30:42;3438528.367800768; My family and I had a fantastic time walking through some of
08:30:49;3438535.306679466; the oldest towns on the coast and a visit to some old
08:30:53;3438539.239185723;
08:30:57;3438543.996611528;
08:31:01;3438547.284649983;SPACE
08:31:01;3438547.655594791;f
08:31:01;3438547.82463509;r
08:31:01;3438547.996805539;i
08:31:02;3438548.109617183;e
08:31:02;3438548.254630754;n
08:31:02;3438548.338027237;d
08:31:02;3438548.493336495;s
08:31:03;3438549.064781114;.
08:31:03;3438549.4354333;SPACE
08:31:05;3438551.434242532;BACK
08:31:11;3438557.462629768; \n\nWe were all so relaxed and a lot of the
08:31:18;3438564.752240448; friends from out of town were very friendly and seemed very relaxed
08:31:22;3438568.887248544; too.\n\nOur
08:31:34;3438580.147908045; visit was a bit of a let down, it was a
08:31:39;3438585.283503579;BACK
08:31:39;3438585.776782841;BACK
08:31:39;3438585.879047554;BACK
08:31:39;3438585.98341425;BACK
08:31:40;3438586.078219735;BACK
08:31:40;3438586.181420561;BACK
08:31:40;3438586.279632945;BACK
08:31:40;3438586.378666028;BACK
08:31:40;3438586.480242148;BACK
08:31:40;3438586.586193574;BACK
08:31:40;3438586.678233251;BACK
08:31:40;3438586.778139791;BACK
08:31:40;3438586.880226269;BACK
08:31:40;3438586.981228564;BACK
08:31:41;3438587.078547922;BACK
08:31:41;3438587.177034156;BACK
08:31:41;3438587.278570855;BACK
08:31:41;3438587.380456367;BACK
08:31:41;3438587.483801858;BACK
08:31:41;3438587.578895852;BACK
08:31:41;3438587.678754883;BACK
08:31:41;3438587.789377298;BACK
08:31:41;3438587.83633159;BACK
08:31:42;3438588.160102423;BACK
08:31:42;3438588.16431353;was 
08:31:42;3438588.51543329;BACK
08:31:43;3438589.657998203;O
08:31:43;3438589.820465689;u
08:31:43;3438590.002395125;r
08:31:44;3438590.107436754;SPACE
08:31:44;3438590.260945142;t
08:31:44;3438590.437107431;r
08:31:44;3438590.535541329;i
08:31:44;3438590.699121755;p
08:31:44;3438590.897193418;SPACE
08:31:45;3438591.21280983;t
08:31:45;3438591.341173984;o
08:31:45;3438591.496436087;o
08:31:45;3438591.629167202;k
08:31:45;3438591.873046559;SPACE
08:31:47;3438593.882672955;BACK
08:31:50;3438596.756618706;SPACE
08:31:51;3438597.146701468;a
08:31:51;3438597.321503433;b
08:31:51;3438597.562795033;o
08:31:51;3438597.721078823;u
08:31:51;3438597.956792284;t
08:31:52;3438598.03587518;SPACE
08:31:52;3438598.953847648;3
08:31:53;3438599.241549059;SPACE
