Time;Perf_Time;Action
10:18:49;3963415.623115088;H
10:18:49;3963415.738886876;e
10:18:49;3963415.851380373;y
10:18:50;3963416.033304448;SPACE
10:18:50;3963416.46846846;M
10:18:50;3963416.591682665;e
10:18:50;3963416.747027155;l
10:18:50;3963416.929441634;i
10:18:51;3963417.207500208;s
10:18:51;3963417.380896778;s
10:18:51;3963417.651978823;a
10:18:51;3963417.830205702;SPACE
10:18:52;3963418.295183862;BACK
10:18:52;3963418.562349035;, 
10:18:52;3963418.627374468;BACK
10:18:52;3963418.816522835; h
10:18:52;3963418.941571;a
10:18:53;3963419.069075881;p
10:18:53;3963419.220941329;p
10:18:53;3963419.469541555;y
10:18:54;3963420.17436049;SPACE
10:18:55;3963421.239737947;BACK
10:18:55;3963421.27022502;BACK
10:18:55;3963421.328665475;BACK
10:18:55;3963421.396775751;BACK
10:18:55;3963421.769177439;BACK
10:18:55;3963421.894969515;BACK
10:18:56;3963422.504513771;wi
10:18:56;3963422.609450917;s
10:18:56;3963422.617275629;BACK
10:18:56;3963422.687722436;ish
10:18:56;3963422.857224952;i
10:18:57;3963423.02287365;n
10:18:57;3963423.108874119;g
10:18:57;3963423.191338788;SPACE
10:18:57;3963423.405031279;y
10:18:57;3963423.592755114;o
10:18:57;3963423.763219439;u
10:18:57;3963423.807773669;SPACE
10:18:58;3963424.085386574;a
10:18:58;3963424.151516576;SPACE
10:18:58;3963424.350682719;h
10:18:58;3963424.477290738;a
10:18:58;3963424.582506734;p
10:18:58;3963424.734105507;p
10:18:59;3963425.007668195;y
10:18:59;3963425.059095739;SPACE
10:18:59;3963425.386020016;B
10:18:59;3963425.56407455;i
10:18:59;3963425.681263237;r
10:18:59;3963425.854210294;t
10:18:59;3963425.923134938;h
10:19:01;3963427.600723636;BACK
10:19:01;3963427.946616429;H
10:19:03;3963429.309518122;d
10:19:03;3963429.514391416;a
10:19:03;3963429.585900676;y
10:19:04;3963430.851164789;SPACE
10:19:04;3963431.001789171;a
10:19:05;3963431.154654272;n
10:19:05;3963431.314345645;d
10:19:05;3963431.383740338;SPACE
10:19:05;3963431.934014374;l
10:19:06;3963432.076768744;o
10:19:08;3963434.338258619;t
10:19:08;3963434.372176303;s of
10:19:08;3963434.427813914;BACK
10:19:08;3963434.460705755; of 
10:19:08;3963434.466162046;BACK
10:19:08;3963434.492827382;of l
10:19:08;3963434.49661321;o
10:19:08;3963434.529957741;v
10:19:08;3963434.533733381;e
10:19:08;3963434.777734735;BACK
10:19:09;3963435.315481974;sf love
10:19:09;3963435.466374154;e
10:19:09;3963435.539073474;n
10:19:09;3963435.675423504;d
10:19:09;3963435.759000972;i
10:19:09;3963435.930640553;n
10:19:10;3963436.066451045;g
10:19:10;3963436.137802436;SPACE
10:19:11;3963437.390768289;SPACE
10:19:11;3963437.506964384;y
10:19:11;3963437.719253816;o
10:19:11;3963437.880012074;u
10:19:12;3963438.033096162;r
10:19:12;3963438.130357666;SPACE
10:19:12;3963438.322909658;w
10:19:12;3963438.517742539;a
10:19:12;3963438.589217864;y
10:19:12;3963438.913819814;.
10:19:13;3963439.105654011;SPACE
10:19:14;3963440.664696751;I
10:19:14;3963440.835275755;t
10:19:14;3963440.9403926;SPACE
10:19:15;3963441.125986305;w
10:19:15;3963441.351189786;a
10:19:15;3963441.736774876;BACK
10:19:15;3963441.843310397;BACK
10:19:16;3963442.261014176;h
10:19:16;3963442.363506498;a
10:19:16;3963442.505461379;s
10:19:16;3963442.569860307;SPACE
10:19:16;3963442.778474204;b
10:19:17;3963443.046604491;e
10:19:17;3963443.194838536;e
10:19:17;3963443.277513005;n
10:19:17;3963443.453473389;SPACE
10:19:18;3963444.453313747;s
10:19:18;3963444.501483675;o
10:19:18;3963444.639034198;SPACE
10:19:18;3963444.697799121;l
10:19:18;3963444.880419399;o
10:19:19;3963445.054212939;n
10:19:19;3963445.164013322;g
10:19:19;3963445.294167982;SPACE
10:19:19;3963445.771940339;s
10:19:19;3963445.848360526;i
10:19:20;3963446.033748848;n
10:19:20;3963446.090830624;c
10:19:20;3963446.344149159;e
10:19:20;3963446.615483377; w
10:19:20;3963446.64170978;BACK
10:19:20;3963446.766717466;we
10:19:20;3963446.814729798;SPACE
10:19:21;3963447.069912332;l
10:19:21;3963447.194887135;a
10:19:21;3963447.386584285;s
10:19:21;3963447.490501314;t
10:19:21;3963447.608993036;SPACE
10:19:21;3963447.739550971;m
10:19:21;3963447.879601198;e
10:19:22;3963448.110775395;t
10:19:22;3963448.296442017;.
10:19:22;3963448.53766678;SPACE
10:19:23;3963449.442133818;S
10:19:23;3963449.549541594;o
10:19:23;3963449.837682192;BACK
10:19:23;3963449.964435431;BACK
10:19:25;3963451.495898419;I
10:19:25;3963451.576466171;SPACE
10:19:25;3963451.712091297;h
10:19:25;3963451.8563985;a
10:19:25;3963451.94356191;v
10:19:26;3963452.069289673;e
10:19:26;3963452.147827409;SPACE
10:19:26;3963452.456657209;s
10:19:26;3963452.524386217;o
10:19:26;3963452.661542231;SPACE
10:19:26;3963452.754279882;m
10:19:26;3963452.951915824;u
10:19:27;3963453.0342188;c
10:19:27;3963453.150651441;h
10:19:27;3963453.201853461;SPACE
10:19:27;3963453.451650847;t
10:19:27;3963453.675627097;o
10:19:27;3963453.785699482;SPACE
10:19:28;3963454.061516181;t
10:19:28;3963454.298916051;e
10:19:28;3963454.361313183;l
10:19:28;3963454.542980314;l
10:19:28;3963454.661530434;SPACE
10:19:29;3963455.198698542;y
10:19:29;3963455.402595692;o
10:19:29;3963455.575168403;u
10:19:30;3963456.595601265;,
10:19:30;3963456.660222679;SPACE
10:19:31;3963457.28427864;t
