Time;Perf_Time;Action
10:31:39;2927385.02351501;I
10:31:39;2927385.317281627;SPACE
10:31:39;2927385.617736091;w
10:31:39;2927385.849397134;e
10:31:39;2927385.997777792;n
10:31:40;2927386.277459227;t
10:31:40;2927386.589518993;SPACE
10:31:41;2927387.105931331;o
10:31:41;2927387.3887885;n
10:31:41;2927387.630906348;SPACE
10:31:41;2927387.78295787;a
10:31:41;2927387.916549641;SPACE
10:31:42;2927388.670657786;v
10:31:42;2927388.863494915;a
10:31:43;2927389.067448641;c
10:31:43;2927389.580965186;ation
10:31:43;2927389.601037429;SPACE
10:31:44;2927390.282113026;w
10:31:44;2927390.422392592;i
10:31:44;2927390.807983542;t
10:31:45;2927391.011961993;h
10:31:45;2927391.299500062;SPACE
10:31:45;2927391.751043618;m
10:31:46;2927392.110125587;y
10:31:46;2927392.423946496;SPACE
10:31:47;2927393.277215168;f
10:31:47;2927393.610599702;r
10:31:47;2927393.943705615;i
10:31:48;2927394.764026324;ends
10:31:48;2927394.771987975;SPACE
10:31:49;2927395.69295645;BACK
10:31:50;2927396.9942664;.
10:31:53;2927399.005215785;
10:32:02;2927408.647775645; It was quite a lot of fun.\n\nI
10:32:10;2927416.133239685;
10:32:19;2927425.939167093;BACK
10:32:20;2927426.326977909;BACK
10:32:20;2927426.801901102;BACK
10:32:21;2927427.364966561;SPACE
10:32:21;2927427.90793805;W
10:32:22;2927428.157005424;e
10:32:22;2927428.322648243;SPACE
10:32:23;2927429.006444508;v
10:32:23;2927429.339802223;i
10:32:23;2927429.533767076;s
10:32:24;2927430.140728468;ited
10:32:24;2927430.158678451;SPACE
10:32:26;2927432.185508117;BACK
10:32:31;2927437.576191261;SPACE
10:32:32;2927438.066998923;u
10:32:32;2927438.357071694;n
10:32:32;2927438.627365151;i
10:32:34;2927440.717667952;
10:32:37;2927443.826829169;t
10:32:38;2927444.067938767;e
10:32:38;2927444.978908844;d
10:32:38;2927444.983034231;SPACE
10:32:39;2927445.891437495;s
10:32:40;2927446.235940261;t
10:32:40;2927446.42608353;a
10:32:40;2927446.587005616;t
10:32:41;2927447.961773401;Ses
10:32:41;2927447.968818052;SPACE
10:32:44;2927450.025582348;BACK
10:32:47;2927453.975821663;SPACE
10:32:48;2927454.703886602;l
10:32:48;2927454.911898056;a
10:32:49;2927455.16177134;s
10:32:49;2927455.415500064;t
10:32:49;2927455.749976696;SPACE
10:32:49;2927455.996875813;w
10:32:50;2927456.349954462;e
10:32:52;2927458.365778037;
10:32:54;2927460.398007853;BACK
10:32:54;2927460.95012942;BACK
10:32:55;2927461.599800009;m
10:32:56;2927462.565493244;BACK
10:32:58;2927464.101425617;w
10:32:58;2927464.823982963;BACK
10:33:00;2927466.87269351;BACK
10:33:03;2927469.227976597;L
10:33:03;2927469.395922638;a
10:33:03;2927469.631850455;s
10:33:03;2927469.819921678;t
10:33:04;2927470.119782878;SPACE
10:33:04;2927470.613894206;w
10:33:04;2927470.932636425;e
10:33:05;2927471.118625992;e
10:33:05;2927471.331862117;k
10:33:06;2927472.164076881;,
10:33:06;2927472.457800018;SPACE
10:33:08;2927474.512172053;
10:33:11;2927477.082499366;BACK
10:33:11;2927477.340279318;BACK
10:33:11;2927477.695847756;BACK
10:33:11;2927477.870771753;BACK
10:33:12;2927478.340938976;BACK
10:33:14;2927480.397004037;
10:33:19;2927485.037028654;.
10:33:21;2927487.067942252;
10:33:28;2927494.104528271; My friend was in the United States.
10:33:33;2927499.399555054;
10:33:39;2927505.53777925; We stayed at my friend's place.
10:33:47;2927513.525895867;
10:34:28;2927554.651435346;SPACE
10:34:30;2927556.730670451;BACK
10:34:34;2927560.693096142;SPACE
10:34:35;2927561.487902914;W
10:34:35;2927561.791450105;e
10:34:36;2927562.200481844;SPACE
10:34:36;2927562.745878282;v
10:34:37;2927563.056356192;i
10:34:37;2927563.224472119;s
10:34:37;2927563.443579185;i
10:34:38;2927564.029509759;ted
10:34:38;2927564.03487991;SPACE
10:34:39;2927565.095854746;w
10:34:39;2927565.313838665;h
10:34:39;2927565.646789726;i
10:34:39;2927565.986797044;t
10:34:40;2927566.196299226;e
10:34:40;2927566.444327199;SPACE
10:34:41;2927567.067296219;h
10:34:41;2927567.357755925;o
10:34:41;2927567.569530469;u
10:34:41;2927567.770970453;s
10:34:42;2927568.046505771;e
10:34:44;2927570.091519771;
10:34:46;2927572.345127593;
10:34:47;2927573.529698834;
10:34:53;2927579.580070577;.
10:34:53;2927579.889696206;SPACE
10:34:55;2927581.896845343;BACK
10:35:10;2927596.02100413;BACK
10:35:11;2927597.371698893;,
10:35:11;2927597.600321485;SPACE
10:35:12;2927598.414848232;s
10:35:12;2927598.698120601;a
10:35:12;2927598.95838404;w
10:35:13;2927599.905613093;SPACE
10:35:14;2927600.324942311;t
10:35:14;2927600.575278714;h
10:35:14;2927600.994840478;e
10:35:15;2927601.294226256;SPACE
10:35:16;2927602.162845452;m
10:35:16;2927602.357462902;e
10:35:16;2927602.587530339;m
10:35:16;2927602.87041816;o
10:35:18;2927604.254843463;rial
10:35:18;2927604.265733856;SPACE
10:35:19;2927605.046419855;BACK
10:35:20;2927606.137817859;s
10:35:20;2927606.814044443;BACK
10:35:20;2927606.835509998;SPACE
10:35:21;2927607.920983439;BACK
10:35:23;2927609.333041505;BACK
10:35:23;2927609.337310671;memorials
10:35:23;2927609.485770888;SPACE
10:35:25;2927611.425346981;BACK
10:35:31;2927617.702165728;. 
10:35:32;2927618.825978331;T
10:35:33;2927619.061322865;h
10:35:33;2927619.246763205;e
10:35:33;2927619.412105913;n
10:35:33;2927619.649798462;SPACE
10:35:34;2927620.28967459;w
10:35:34;2927620.537820794;e
10:35:34;2927620.751909949;SPACE
10:35:35;2927621.211751295;t
10:35:35;2927621.705775405;o
10:35:35;2927621.88912915;o
10:35:36;2927622.093885842;k
10:35:36;2927622.355959426;SPACE
10:35:36;2927622.541788074;a
10:35:36;2927622.657426718;SPACE
10:35:37;2927623.259875277;r
10:35:37;2927623.622379032;o
10:35:37;2927623.791724245;a
10:35:38;2927624.089669081;d
10:35:38;2927624.281823913;SPACE
10:35:38;2927624.799209348;t
10:35:38;2927625.000371349;r
10:35:39;2927625.359981722;i
10:35:39;2927625.628702453;p
10:35:41;2927627.713150754;
10:35:43;2927629.584320718;
10:35:46;2927632.681464399; to Chicago.
10:35:52;2927638.366120496;
10:35:57;2927643.740708522;
10:36:04;2927650.961917664;BACK
10:36:05;2927651.377701817;BACK
10:36:05;2927651.438156021;BACK
10:36:05;2927651.50748641;BACK
10:36:05;2927651.568379668;BACK
10:36:05;2927651.620226218;BACK
10:36:06;2927652.059530905;BACK
10:36:06;2927652.483070207;BACK
10:36:07;2927653.871103528;BACK
10:36:08;2927654.113484281;BACK
10:36:09;2927655.690639965;BACK
10:36:11;2927657.747829111;BACK
10:36:15;2927661.393847302;
10:36:20;2927666.049807319; to visit different places in the states.
10:36:26;2927672.018339;
10:36:30;2927676.957131442; It was a nice adventure.
10:36:35;2927681.986732609;
10:36:42;2927688.418773756;
10:36:49;2927695.845986108;SPACE
10:36:51;2927697.397973759;W
10:36:51;2927697.662783194;e
10:36:51;2927697.893820662;SPACE
10:36:52;2927698.352210691;m
