Time;Perf_Time;Action
08:07:32;3609938.048785197;H
08:07:32;3609938.175918228;d
08:07:32;3609938.846812991;e
08:07:32;3609938.878175936;SPACE
08:07:33;3609939.407174877;BACK
08:07:33;3609939.870247367;y
08:07:34;3609940.125868252;SPACE
08:07:34;3609940.396005966;D
08:07:34;3609940.532870203;a
08:07:34;3609940.574518362;n
08:07:34;3609940.750914012;i
08:07:34;3609940.86622716;e
08:07:34;3609940.981150948;l
08:07:35;3609941.379651903;,
08:07:35;3609941.484363483;\n
08:07:36;3609942.810753376;h
08:07:36;3609942.915513762;a
08:07:37;3609943.021213214;p
08:07:37;3609943.13887206;p
08:07:37;3609943.253246904;y
08:07:37;3609943.356236995;SPACE
08:07:37;3609943.544330347;b
08:07:37;3609943.730665558;i
08:07:37;3609943.802264375;r
08:07:37;3609943.942783093;t
08:07:38;3609944.099766492;h
08:07:38;3609944.23214196;d
08:07:38;3609944.435829893;a
08:07:38;3609944.565090393;y
08:07:38;3609944.710497469;SPACE
08:07:38;3609944.84802606;t
08:07:38;3609944.943680156;o
08:07:39;3609945.120255503;SPACE
08:07:39;3609945.224348204;y
08:07:39;3609945.346274812;o
08:07:39;3609945.460617871;u
08:07:39;3609945.760207759;.
08:07:40;3609946.466009538;BACK
08:07:40;3609946.807593761;n
08:07:41;3609947.523089117;BACK
08:07:41;3609947.891938707;!
08:07:43;3609949.899694577;
08:07:52;3609958.010518174;
08:08:09;3609975.24669028;
08:08:25;3609991.593369205;
08:08:29;3609995.871651457;
08:08:37;3610003.375363168;
08:08:42;3610008.269588584; \n\nI hope to have a long life with you.
08:08:45;3610011.997110135;
08:08:48;3610014.485483032;
08:08:52;3610018.493456394;
08:08:55;3610021.292560288;
08:08:58;3610024.2011685;
08:09:00;3610026.909120466;
08:09:04;3610030.797520585;BACK
08:09:06;3610032.806140863;
08:09:11;3610037.728138747;
08:09:45;3610071.70387108;\n
08:09:47;3610073.683899896;
08:10:02;3610088.220861655;I
08:10:02;3610088.437729542;t
08:10:02;3610088.770192752;‘
08:10:02;3610088.897474195;s
08:10:03;3610089.012222568;SPACE
08:10:03;3610089.16608557;b
08:10:03;3610089.387877799;e
08:10:03;3610089.590277051;e
08:10:03;3610089.682823083;n
08:10:03;3610089.864911722;SPACE
08:10:04;3610090.22816393;a
08:10:04;3610090.335345231;SPACE
08:10:04;3610090.523594651;l
08:10:04;3610090.673520875;o
08:10:04;3610090.808620538;n
08:10:04;3610090.904800936;g
08:10:05;3610091.003586929;SPACE
08:10:05;3610091.833815079;BACK
08:10:05;3610091.917551046;t
08:10:06;3610092.881048161;ime
08:10:06;3610092.910812986;SPACE
08:10:06;3610092.971570079;t
08:10:07;3610093.382777;BACK
08:10:07;3610093.547814876;BACK
08:10:07;3610093.682033579;BACK
08:10:07;3610093.777383125;BACK
08:10:07;3610093.88459362;BACK
08:10:08;3610094.045180321;BACK
08:10:08;3610094.521183363;SPACE
08:10:08;3610094.647800905;t
08:10:08;3610094.747022859;i
08:10:08;3610094.899929718;m
08:10:08;3610094.975330863;e
08:10:09;3610095.060044214;SPACE
08:10:09;3610095.231949857;s
08:10:09;3610095.323774155;i
08:10:09;3610095.47020209;n
08:10:09;3610095.640437163;c
08:10:09;3610095.693214839;e
08:10:09;3610095.836691967;SPACE
08:10:10;3610096.09133615;w
08:10:10;3610096.239251676;e
08:10:10;3610096.314294483;SPACE
08:10:10;3610096.488356946;m
08:10:10;3610096.562411401;e
08:10:10;3610096.806754797;t
08:10:11;3610097.111515609;.
08:10:13;3610099.119740809;
08:10:17;3610103.665514063;
08:10:20;3610106.82893932;
08:10:24;3610110.9584628;
08:10:29;3610115.253225278;
08:10:32;3610118.245405331;
08:10:35;3610121.702965544;
08:10:41;3610127.351727015; \nI would be happy to see you in your new place
08:10:47;3610133.880293914;
08:10:49;3610135.091942448;
08:10:50;3610136.81038017;
08:10:51;3610137.864627603;
08:10:53;3610139.736717343;
08:10:54;3610140.973023776;
08:10:58;3610144.428860081;
08:10:59;3610145.386016668;
08:11:02;3610148.243031995;
08:11:05;3610151.48500288;
08:11:30;3610176.043093961; soon.
