Time;Perf_Time;Action
12:14:31;3883957.253500036;H
12:14:32;3883958.383227449;a
12:14:32;3883958.77193104;p
12:14:32;3883958.910277149;p
12:14:33;3883959.119939462;y
12:14:33;3883959.359512508;SPACE
12:14:34;3883960.988237424;birthday 
12:14:35;3883961.878188206;M
12:14:36;3883962.180232437;i
12:14:36;3883962.372473747;n
12:14:36;3883962.584170583;a
12:14:38;3883964.394346583;!
12:15:00;3883986.210607019;SPACE
12:15:01;3883987.456919288;I
12:15:01;3883987.763253889;SPACE
12:15:05;3883991.457491987;w
12:15:05;3883991.68014404;i
12:15:05;3883991.899457336;s
12:15:06;3883992.429263397;h
12:15:23;3884009.521370573; you a happy  I'm sure
12:15:24;3884010.337692678;B
12:15:26;3884012.340149695;BACK
12:15:26;3884012.573132472;BACK
12:15:29;3884015.547792627;BACK
12:15:29;3884015.69700255;BACK
12:15:29;3884015.843439597;BACK
12:15:29;3884015.999123411;BACK
12:15:30;3884016.145934811;BACK
12:15:30;3884016.318731449;BACK
12:15:31;3884017.053187161;l
12:15:31;3884017.18060886;l
12:15:33;3884019.859080748;BACK
12:15:34;3884020.261210537;SPACE
12:15:34;3884020.762240813;t
12:15:34;3884020.949965456;h
12:15:35;3884021.219953427;e
12:15:35;3884021.418525538;SPACE
12:15:36;3884022.032018086;b
12:15:36;3884022.351698191;e
12:15:38;3884024.073313036;s
12:15:38;3884024.350139097;t
12:15:52;3884038.076495659; for the future! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤.
12:15:52;3884038.409056794;SPACE
12:15:54;3884040.20420058;i
12:15:55;3884041.037915065;BACK
12:15:55;3884041.584376164;I
12:15:55;3884041.83541988;SPACE
12:15:56;3884042.364104942;m
12:15:56;3884042.711827035;i
12:15:56;3884042.849582698;i
12:15:57;3884043.03362162;s
12:15:57;3884043.377589855;SPACE
12:15:57;3884043.962803392;BACK
12:15:58;3884044.128886303;BACK
12:15:58;3884044.279942798;BACK
12:15:58;3884044.670940362;s
12:15:58;3884044.973289433;s
12:15:59;3884045.319011488;SPACE
12:15:59;3884045.837435511;y
12:16:00;3884046.100929806;o
12:16:00;3884046.30605933;u
12:16:00;3884046.58247465;SPACE
12:16:02;3884048.010383176;a
12:16:02;3884048.360129019;SPACE
12:16:02;3884048.999538164;l
12:16:03;3884049.378107127;o
12:16:03;3884049.850610024;t
12:16:23;3884069.262543743; Mina, you're such a beautiful person. I hope w
12:16:23;3884069.502111953;e
12:16:23;3884069.900189392;SPACE
12:16:25;3884071.221674317;c
12:16:25;3884071.472168238;a
12:16:25;3884071.707643893;n
12:16:25;3884071.923643617;SPACE
12:16:26;3884072.703642838;c
12:16:26;3884072.962693228;a
12:16:27;3884073.522220253;t
12:16:28;3884074.208885171;c
12:16:28;3884074.463380477;h
12:16:29;3884075.805942957;SPACE
12:16:30;3884076.122491997;u
12:16:30;3884076.368749486;p
12:16:42;3884088.346160562; soon! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤.
12:16:43;3884089.419561222;h
12:16:43;3884089.706995609;o
12:16:43;3884089.903131433;w
12:16:44;3884090.100027191;SPACE
12:16:44;3884090.354503866;a
12:16:45;3884091.230053999;b
12:16:45;3884091.579732329;o
12:16:45;3884091.75248822;u
12:16:46;3884092.054838981;t
12:16:58;3884104.337056285;SPACE
12:16:58;3884104.524441263;BACK
12:16:59;3884105.081805805;SPACE
12:16:59;3884105.332074763;n
12:16:59;3884105.712550264;e
12:16:59;3884105.94143943;x
12:17:00;3884106.17248538;t
12:17:00;3884106.41450899;SPACE
12:17:01;3884107.038767826;w
12:17:01;3884107.248692593;e
12:17:01;3884107.637148229;e
12:17:02;3884108.499092244;k
12:17:03;3884109.23089056;?
12:17:25;3884131.889704156;SPACE
