Time;Perf_Time;Action
09:22:39;3009645.974946435;Hey
09:22:40;3009646.841386983;SPACE
09:22:40;3009646.855256971;mate
09:22:41;3009647.5684629;,
09:22:42;3009648.039673339;\n
09:22:45;3009651.402166778;I
09:22:46;3009652.392635;SPACE
09:22:46;3009652.412730217;wish
09:22:47;3009653.315991699;SPACE
09:22:47;3009653.333577422;your
09:22:48;3009654.291536956;BACK
09:22:48;3009654.791371099;SPACE
09:22:48;3009654.803367193;all
09:22:49;3009655.420852885;SPACE
09:22:49;3009655.4500345;the
09:22:50;3009656.273450998;SPACE
09:22:50;3009656.29717393;best
09:22:51;3009657.455854679; for
09:22:51;3009657.460283454;BACK
09:22:52;3009658.078064177;for 
09:22:52;3009658.090192387;your
09:22:52;3009658.843848543;SPACE
09:22:53;3009659.489989873;2
09:22:53;3009659.858926087;5
09:22:54;3009660.397537475;t
09:22:54;3009660.57174496;h
09:22:54;3009660.911987523;SPACE
09:22:56;3009662.634153431;birthday
09:22:58;3009664.410081092;!
09:23:03;3009669.471407064;\n
09:23:45;3009711.70553798;Es
09:23:46;3009712.082155749;BACK
09:23:48;3009714.336474529;Fitz
09:23:49;3009715.742545065;BACK
09:24:00;3009726.577549568;I
09:24:01;3009727.811365858;SPACE
09:24:01;3009727.819573738;wish
09:24:02;3009728.595590732;SPACE
09:24:02;3009728.613902316;you
09:24:04;3009730.219676615;SPACE
09:24:04;3009730.234585339;best
09:24:05;3009731.912980616;SPACE
09:24:05;3009731.928255516;health
09:24:07;3009733.39538633;SPACE
09:24:07;3009733.404364854;and
09:24:19;3009745.878165366;SPACE
09:24:19;3009745.899299724;success
09:24:20;3009746.592509293;SPACE
09:24:20;3009746.617671542;in
09:24:21;3009747.334674102;SPACE
09:24:21;3009747.339416924;all
09:24:22;3009748.125696101;SPACE
09:24:22;3009748.153694679;you
09:24:22;3009748.959824251;r
09:24:32;3009758.820083852;SPACE
09:24:32;3009758.824749519;plans
09:24:34;3009760.104646422;SPACE
09:24:34;3009760.119689378;for
09:24:34;3009760.842266617;SPACE
09:24:34;3009760.853766981;the
09:24:35;3009761.365973989;SPACE
09:24:35;3009761.370705772;new
09:24:36;3009762.978359663;SPACE
09:24:37;3009763.0053816;year
09:24:41;3009767.529660919;.
09:24:42;3009768.412751858;\n
09:24:44;3009770.930682778;Hopefully
09:24:45;3009771.656773898;SPACE
09:24:45;3009771.688763649;we
09:24:46;3009772.852958578;SPACE
09:24:46;3009772.857807329;can
09:24:47;3009773.577568169;SPACE
09:24:47;3009773.592557846;meet
09:24:48;3009774.845631935;SPACE
09:24:48;3009774.864152471;mode
09:24:50;3009776.186157265;r
09:24:51;3009777.316752822;SPACE
09:24:51;3009777.321744962;often
09:24:52;3009778.231668002;SPACE
09:24:52;3009778.236737328;this
09:24:53;3009779.488451922;SPACE
09:24:53;3009779.493595555;year
09:24:54;3009780.281908874;,
09:24:54;3009780.871069687;SPACE
09:24:54;3009780.89714656;i
09:24:55;3009781.806117202;I 
09:25:01;3009787.351738678;BACK
09:25:01;3009787.37558476;i
09:25:01;3009787.524384235;BACK
09:25:01;3009787.669246385;BACK
09:25:05;3009791.733915104;SPACE
09:25:06;3009792.509304476;i
09:25:06;3009792.884729204;I 
09:25:07;3009793.970491271;miss
09:25:09;3009795.436426016;SPACE
09:25:09;3009795.44876947;our
09:25:17;3009803.262233752;SPACE
09:25:17;3009803.269609863;evenings
09:25:18;3009804.577285147;SPACE
09:25:18;3009804.590703305;or
09:25:19;3009805.687928513;ut
09:25:21;3009807.721935888;SPACE
09:25:21;3009807.727337146;together
09:25:22;3009808.874982504;.
09:25:23;3009809.410684592;\n
09:25:25;3009811.902842566;See
09:25:27;3009813.198212437;SPACE
09:25:27;3009813.206546193;you
09:25:28;3009814.100617421;SPACE
09:25:28;3009814.105184975;soon
