Time;Perf_Time;Action
08:41:24;2920770.705508645;I
08:41:24;2920770.962404558;SPACE
08:41:25;2920771.127721824;w
08:41:25;2920771.269597439;i
08:41:25;2920771.571918943;s
08:41:25;2920771.975305203;h
08:41:26;2920772.194758553;SPACE
08:41:26;2920772.439876499;y
08:41:26;2920772.724744126;o
08:41:26;2920772.920659388;h
08:41:27;2920773.167084805;u
08:41:27;2920773.171334094;SPACE
08:41:27;2920773.366851289;a
08:41:27;2920773.449293134;SPACE
08:41:27;2920773.743967378;v
08:41:27;2920773.961132567;e
08:41:28;2920774.198868402;r
08:41:28;2920774.528832478;y
08:41:28;2920774.610498369;SPACE
08:41:28;2920774.823000044;h
08:41:28;2920774.960802;a
08:41:29;2920775.121377184;p
08:41:29;2920775.328700257;p
08:41:29;2920775.464089279;y
08:41:29;2920775.896280875;SPACE
08:41:30;2920776.283959853;b
08:41:41;2920787.598804022; th
08:41:42;2920788.05159079;BACK
08:41:42;2920788.250566761;BACK
08:41:42;2920788.469086371;BACK
08:41:43;2920789.214462698;i
08:41:43;2920789.441947306;r
08:41:43;2920789.826910842;t
08:41:43;2920789.968338268;h
08:41:44;2920790.366621174;d
08:41:44;2920790.640813283;a
08:41:44;2920790.854675689;y
08:41:46;2920792.064187132;!
08:41:46;2920792.30746749;SPACE
08:41:46;2920792.835996858;A
08:41:46;2920792.979676157;l
08:41:47;2920793.161975695;l
08:41:47;2920793.440126115;SPACE
08:41:47;2920793.663428591;h
08:41:47;2920793.86402985;e
08:41:47;2920793.971770944;SPACE
08:41:48;2920794.157538363;b
08:41:48;2920794.25526888;e
08:41:48;2920794.496871683;s
08:41:48;2920794.711605812;t
08:41:59;2920805.693744524;SPACE
08:42:00;2920806.335578758;a
08:42:00;2920806.451625436;m
08:42:00;2920806.622917613;d
08:42:00;2920806.710283451;AMD
08:42:00;2920806.722736042;SPACE
08:42:00;2920806.948097701;s
08:42:01;2920807.29670032;t
08:42:01;2920807.698336709;a
08:42:01;2920807.912733336;y
08:42:02;2920808.012747164;SPACE
08:42:02;2920808.354936276;h
08:42:02;2920808.498880219;e
08:42:02;2920808.779058487;a
08:42:02;2920808.858866913;l
08:42:03;2920809.136003845;t
08:42:03;2920809.314261915;h
08:42:03;2920809.517367249;y
08:42:03;2920809.733885715;BACK
08:42:03;2920809.73904515;.
08:42:04;2920810.136176737;SPACE
08:42:04;2920810.713094633;BACK
08:42:04;2920810.919397163;BACK
08:42:05;2920811.117430015;y
08:42:05;2920811.324095824;SPACE
08:42:05;2920811.988881121;BACK
08:42:06;2920812.22745181;.
08:42:06;2920812.466813187;SPACE
08:42:08;2920814.262372164;I
08:42:08;2920814.500572399;SPACE
08:42:08;2920814.697467667;h
08:42:08;2920814.949307868;o
08:42:09;2920815.373450541;p
08:42:09;2920815.55732491;e
08:42:09;2920815.793907898;SPACE
08:42:10;2920816.15493472;t
08:42:10;2920816.387116899;o
08:42:10;2920816.60816153;SPACE
08:42:10;2920816.899610165;s
08:42:11;2920817.440201694;e
08:42:11;2920817.629403383;e
08:42:11;2920817.727078553;SPACE
08:42:12;2920818.039945309;y
08:42:12;2920818.140279907;o
08:42:12;2920818.384225452;u
08:42:12;2920818.659760015;SPACE
08:42:12;2920818.846454972;a
08:42:13;2920819.059777557;g
08:42:13;2920819.264224004;a
08:42:13;2920819.474622565;i
08:42:13;2920819.687864849;n
08:42:55;2920861.488540443;" soon and see you at AMD's next event.""\n\nSo that's it folks. It was a pretty intens"
08:42:56;2920862.148109483;BACK
08:42:58;2920864.28498758;BACK
08:43:06;2920872.274743854;t
08:43:09;2920875.71229759;BACK
08:43:09;2920875.970168518;BACK
08:43:10;2920876.257647706;BACK
08:43:10;2920876.752850642;BACK
08:43:15;2920881.00540486;a
08:43:15;2920881.161071867;n
08:43:15;2920881.321445308;d
08:43:15;2920881.875571132;SPACE
08:43:21;2920887.603227524;BACK
08:43:36;2920902.734249049;" You will always have my love.""\n"
08:43:37;2920903.297075059;BACK
08:43:37;2920903.528765476;BACK
