Time;Perf_Time;Action
08:27:27;2919933.999756417;A
08:27:28;2919934.311676305;SPACE
08:27:28;2919934.52007645;f
08:27:28;2919934.78784992;r
08:27:28;2919934.981807221;i
08:27:29;2919935.132847862;e
08:27:29;2919935.241760166;n
08:27:29;2919935.361452557;d
08:27:29;2919935.452716919;SPACE
08:27:29;2919935.601413706;a
08:27:29;2919935.673509702;n
08:27:29;2919935.884447365;d
08:27:29;2919935.929519065;SPACE
08:27:30;2919936.179241065;m
08:27:30;2919936.294930585;e
08:27:30;2919936.425548013;SPACE
08:27:30;2919936.72493047;m
08:27:30;2919936.941672861;e
08:27:31;2919937.224324513;t
08:27:31;2919937.340761295;SPACE
08:27:31;2919937.571779981;a
08:27:31;2919937.805003462;t
08:27:31;2919937.916892044;SPACE
08:27:32;2919938.055680989;t
08:27:32;2919938.231956357;h
08:27:32;2919938.440908971;e
08:27:32;2919938.660582849;SPACE
08:27:32;2919938.947943311;t
08:27:33;2919939.146300023;r
08:27:33;2919939.453444291;a
08:27:33;2919939.56032487;i
08:27:33;2919939.764873526;n
08:27:33;2919939.985735536;SPACE
08:27:34;2919940.300038299;t
08:27:34;2919940.587539275;a
08:27:34;2919940.872391162;t
08:27:35;2919941.094229585;i
08:27:35;2919941.316351208;o
08:27:35;2919941.501648636;n
08:27:35;2919941.724311012;s
08:27:35;2919941.728805841;SPACE
08:27:35;2919941.822572835;t
08:27:35;2919941.977629837;o
08:27:36;2919942.241338021;SPACE
08:27:36;2919942.51606104;g
08:27:36;2919942.808954269;o
08:27:37;2919943.057055368;SPACE
08:27:37;2919943.162866783;t
08:27:37;2919943.30615238;o
08:27:37;2919943.560804784;SPACE
08:27:37;2919943.824040191;b
08:27:38;2919944.026322731;a
08:27:38;2919944.4005283;BACK
08:27:38;2919944.616841564;BACK
08:27:38;2919944.926141294;B
08:27:39;2919945.049993051;a
08:27:39;2919945.160478912;m
08:27:39;2919945.519582526;b
08:27:39;2919945.652441057;e
08:27:39;2919945.845620697;r
08:27:40;2919946.038783128;g
08:27:41;2919947.168075509;SPACE
08:27:41;2919947.461825797;f
08:27:41;2919947.533293172;o
08:27:41;2919947.720603182;r
08:27:41;2919947.85039577;SPACE
08:27:42;2919948.324138162;a
08:27:42;2919948.434075762;SPACE
08:27:42;2919948.726952949;k
08:27:42;2919948.979736845;o
08:27:43;2919949.342315817;BACK
08:27:43;2919949.569230405;i
08:27:43;2919949.774829067;k
08:27:43;2919949.902821244;e
08:27:44;2919950.029108342;l
08:27:44;2919950.061740431;SPACE
08:27:44;2919950.230797328;t
08:27:44;2919950.444520629;r
08:27:44;2919950.610476711;i
08:27:44;2919950.889856406;p
08:27:45;2919951.12262803;.
08:27:45;2919951.347775042;SPACE
08:27:45;2919951.66887975;W
08:27:45;2919951.854532904;e
08:27:45;2919951.992669986;SPACE
08:27:46;2919952.209609004;f
08:27:46;2919952.380719012;o
08:27:46;2919952.626218843;l
08:27:46;2919952.800798209;l
08:27:46;2919952.993986922;o
08:27:47;2919953.128595063;w
08:27:47;2919953.326519919;e
08:27:47;2919953.544721417;d
08:27:47;2919953.656096105;SPACE
08:27:47;2919953.791558276;a
08:27:47;2919953.912058669;l
08:27:48;2919954.160396082;o
08:27:48;2919954.596621723;BACK
08:27:48;2919954.813264034;o
08:27:49;2919955.048212958;n
08:27:49;2919955.202467835;g
08:27:49;2919955.316272036;SPACE
08:27:49;2919955.444175122;t
08:27:49;2919955.616001792;h
08:27:49;2919955.760974583;e
08:27:49;2919955.895782598;SPACE
