Time;Perf_Time;Action
12:27:31;3366337.377302076;H
12:27:31;3366337.593703624;e
12:27:31;3366337.769060828;l
12:27:31;3366337.901372316;l
12:27:32;3366338.098118983;o
12:27:34;3366340.53549114;SPACE
12:27:37;3366343.958909553;C
12:27:38;3366344.358108777;h
12:27:38;3366344.48897281;a
12:27:38;3366344.63827098;n
12:27:39;3366345.605232815;d
12:27:39;3366345.795223149;a
12:27:40;3366346.06796487;n
12:27:40;3366346.341238007;,
12:27:40;3366346.572724364;\n
12:27:41;3366347.168324501;\n
12:27:42;3366348.966091756;I
12:27:43;3366349.163131238;SPACE
12:27:43;3366349.279097663;w
12:27:43;3366349.42497399;i
12:27:43;3366349.590951411;s
12:27:43;3366349.707179742;h
12:27:43;3366349.876408733;SPACE
12:27:44;3366350.122475056;y
12:27:44;3366350.289047829;o
12:27:44;3366350.479919268;u
12:27:44;3366350.689369776;SPACE
12:27:45;3366351.717789482;a
12:27:45;3366351.879717918;SPACE
12:27:46;3366352.661040115;b
12:27:46;3366352.791473298;e
12:27:46;3366352.994959441;r
12:27:47;3366353.100265411;y
12:27:47;3366353.307751786;v 
12:27:47;3366353.565294449;h
12:27:47;3366353.650532861;a
12:27:47;3366353.796734951;p
12:27:47;3366353.939882611;p
12:27:48;3366354.131713945;y
12:27:48;3366354.242074386;SPACE
12:27:48;3366354.640292492;b
12:27:48;3366354.846864354;i
12:27:49;3366355.036495265;r
12:27:49;3366355.228877223;t
12:27:49;3366355.379990331;h
12:27:49;3366355.756102317;day
12:27:49;3366355.952488718;SPACE
12:27:52;3366358.7740733;BACK
12:27:52;3366358.981540289;.
12:27:53;3366359.777911603;SPACE
12:27:58;3366364.140658216;L
12:27:58;3366364.215807014;e
12:27:58;3366364.468374083;t
12:27:58;3366364.575376151;SPACE
12:27:58;3366364.678442579;t
12:27:58;3366364.79018612;h
12:27:58;3366365.000667922;i
12:27:59;3366365.104871402;s
12:27:59;3366365.203804877;SPACE
12:27:59;3366365.975979098;y
12:28:00;3366366.068328475;e
12:28:00;3366366.282735129;a
12:28:00;3366366.505172031;r
12:28:00;3366366.745919626;SPACE
12:28:01;3366367.957783005;b
12:28:02;3366368.077745858;r
12:28:02;3366368.192220851;i
12:28:02;3366368.412022842;n
12:28:02;3366368.552192022;g
12:28:02;3366368.658226344;SPACE
12:28:02;3366368.89342534;y
12:28:03;3366369.039092153;o
12:28:03;3366369.217265805;u
12:28:03;3366369.438836855;SPACE
12:28:03;3366369.905470373;a
12:28:04;3366370.237974786;l
12:28:04;3366370.375461959;l
12:28:04;3366370.694236639;SPACE
12:28:05;3366371.040019204;t
12:28:05;3366371.188764549;h
12:28:05;3366371.346334696;e
12:28:05;3366371.470244826;SPACE
12:28:06;3366372.667697268;f
12:28:07;3366373.100031952;o
12:28:07;3366373.281995114;r
12:28:07;3366373.495369117;t
12:28:07;3366373.689676204;u
12:28:07;3366373.878309988;n
12:28:07;3366373.999449538;e
12:28:08;3366374.118460838;SPACE
12:28:08;3366374.3902289;a
12:28:08;3366374.493969901;n
12:28:08;3366374.659162109;d
12:28:08;3366374.799959884;SPACE
12:28:10;3366376.557820992;b
12:28:10;3366376.657490946;e
12:28:10;3366376.896093842;s
12:28:10;3366376.983517412;t
12:28:11;3366377.247362367;SPACE
12:28:13;3366379.454634363;BACK
12:28:13;3366379.606166306;BACK
12:28:13;3366379.779114405;BACK
12:28:13;3366379.949166752;BACK
12:28:14;3366380.141843347;BACK
12:28:14;3366380.748658263;g
12:28:14;3366380.90367577;o
12:28:15;3366381.043919678;o
12:28:15;3366381.205825866;d
12:28:15;3366381.257364184;SPACE
12:28:15;3366381.751703731;h
12:28:15;3366381.831908481;e
12:28:15;3366381.992024502;a
12:28:16;3366382.06023647;l
12:28:16;3366382.246395803;t
12:28:16;3366382.339760142;h
12:28:16;3366382.572052384;.
12:28:17;3366383.045679107;SPACE
12:28:24;3366390.358146525;I
12:28:24;3366390.61620299;t
12:28:24;3366390.7823702;s
12:28:24;3366390.896422287;' 
12:28:25;3366391.475770937;a
12:28:25;3366391.557349942;l
12:28:25;3366391.726846058;m
12:28:25;3366391.952813603;o
12:28:26;3366392.140857991;s
12:28:26;3366392.414398616;t
12:28:26;3366392.476264629;SPACE
12:28:26;3366392.654164175;b
12:28:26;3366392.762898871;w
12:28:26;3366392.905782335;e
12:28:27;3366393.535182379;BACK
12:28:28;3366394.03316231;BACK
12:28:28;3366394.184218226;e
12:28:28;3366394.363258058;e
12:28:28;3366394.489495629;n
12:28:28;3366394.682041258;SPACE
12:28:29;3366395.717922558;t
12:28:30;3366396.005146367;w
12:28:30;3366396.094452004;o
12:28:30;3366396.33333756;SPACE
12:28:30;3366396.582978791;y
12:28:30;3366396.632994774;e
12:28:30;3366396.848472374;a
12:28:31;3366397.02131728;r
12:28:31;3366397.16512361;s
12:28:31;3366397.29595675;SPACE
12:28:31;3366397.823210867;s
12:28:32;3366398.033177198;i
12:28:32;3366398.127833209;n
12:28:32;3366398.457883742;c
12:28:32;3366398.597782941;e
12:28:32;3366398.671288818;SPACE
12:28:32;3366398.933749341;w
12:28:33;3366399.139219241;e
12:28:33;3366399.254826191;SPACE
12:28:34;3366400.177060013;l
12:28:34;3366400.246474674;a
12:28:34;3366400.447322894;s
12:28:34;3366400.739698621;t
12:28:34;3366400.876460411;SPACE
12:28:35;3366401.049001888;m
12:28:35;3366401.173667972;e
12:28:35;3366401.472528544;t
12:28:35;3366401.659193951;SPACE
12:28:36;3366402.566330845;a
12:28:36;3366402.710667285;n
12:28:36;3366402.887624636;d
12:28:37;3366403.031394266;SPACE
12:28:38;3366404.841286606;w
12:28:38;3366404.874414754;o
12:28:39;3366405.090116033;u
12:28:39;3366405.265951326;l
12:28:39;3366405.39684586;d
12:28:39;3366405.491617464;SPACE
12:28:39;3366405.68374837;l
12:28:39;3366405.90095834;i
12:28:40;3366406.083672895;k
